text,label,stock_code,stock_name,change
前明星經理人 萬鈞法人視野 分析 台達電掌握電力安全與效率輸送 週前台達電子新加坡實習申請 月日截止 nccu edu tw 台聯大政大辦公室訊 溫世仁文教基金會uaited university alliance in talent development 全球產學未來人才培育策略聯盟 與台達電子密 小時前焦點股 電源供應器領頭羊 美系外資加碼目標元 台達電股價再創新高msn 財訊快報 記者劉居,1,2308,台達電子,2.9787234042553195
yahoo新聞財經中心 綜合報導 本日股市重點 美股穩健 科技股續強個人消費支出與核心通膨數據顯示 美國經濟成長動能仍然穩健 支撐股市風險偏好,1,2308,台達電子,2.9787234042553195
玩股網本周指數續創高點 權值股輪動推升盤勢 低軌衛星與保健族群強勢表態 散戶熱門股與老ai震盪加劇 資金開始轉向具新敘事與防禦題材個股,1,2308,台達電子,2.9787234042553195
美系外資在新出爐的報告中調高台達電目標價 由 元調高至 元 週前鴻海落後台達電 免驚,1,2308,台達電子,2.9787234042553195
台達電子 google 搜尋 如果系統沒有在數秒鐘後將您重新導向 請按一下這裡,1,2308,台達電子,2.9787234042553195
英業達衝鋒 群創 力積電震盪 昇達科上千金 下周盤勢重點,1,2308,台達電子,2.9787234042553195
全部新聞圖片地圖 影片 書籍 搜尋工具 搜尋所有網站搜尋所有網站搜尋所有中文網頁搜尋繁體中文網頁近期近期 過去 小時 過去 小時 過去 週 過去 個月 過去 年封存依關聯性排序依關聯性排序按日期排序熱門股 台達電我大哥,1,2308,台達電子,2.9787234042553195
週前單挑台達電 康舒ai比重挑戰成自由財經記者方韋傑 台北報導 康舒 金寶 與泰金寶 dr 昨日舉辦集團旺年會 正式宣布合作策略 董事長許介立指出 ai伺服器電源市場之大 週前資策會數位轉型研究院 find中心find 趨勢在全球同步邁入 ai爆發成長 與 淨零轉型 的工業 浪潮下 企業正承受雙重挑戰 一方面ai 運算與基礎設施快速擴張 帶動更高的用電量與散熱需求,1,2308,台達電子,2.9787234042553195
大摩喊驚人目標價元 年獲利將翻倍 財經中時新聞網電源供應器龍頭廠台達電今早盤觸及元漲停價 創下歷史新天價 成交量逼近萬張 市值衝上 兆元 正式超過電子代工龍頭廠鴻海 僅次於晶圓代工龍頭廠 週前台達電收盤創高 朝兆市值挺進挑戰鴻海市值二哥地位 上市電子 股市聯合新聞網台達電日以 元平盤開出 早盤一度下滑至 元 之後反彈拉升 盤中衝達 元 寫歷史新高 市值 兆元 終場則是收在 元 上漲元 仍是收盤 週,1,2308,台達電子,2.9787234042553195
天前台達電逼宮鴻海劍指市值二哥 日報工商時報集儲能 缺電 ai伺服器等概念股的台達電 日一早股價逆勢衝高至元刷歷史新高價 市值一度來到 兆元 最後收元上漲元 市值 兆元 週前 下一頁 竹北 新竹縣竹北市根據你的 ip 位址 瞭解詳情登入設定隱私權服務條款深色主題 關閉,1,2308,台達電子,2.9787234042553195
